,KCCAns,QueryText
3141,0,0
3142,use trycoderma with fym faretilizer  and imidacholoropid for insect ,how to control fungal disease  in mango ?
3143,recommended for to control mites in papaya crop spray ethion @30ml/PUMP of water,farmer want to know information about how to control mites in papaya crop ?
3144,"recommend for spray to Imidacloprid 17.8 % SL 5-7 ML/PUMP
","how to control SUCKING IN gram ?
"
3145,RECOMONDED SPRAY OF CARBANDAZIM + MENCOZEB 40 GRAM AND STRAPTOCYCLINE 3 GRAM AT 15 LITTER OF WATER,FARMER WANT TO KNOW INFORMATION ABOUT HOW TO CONTROL FUNGAL ATTAIK   IN GINGER CROP
3146,J.G. 14 jaki  9218 JG 63,Farmer want to know about gram variety ?
3147,•	Spray diAmethoate 30 EC 500 ml/ha ór 30 ml per pump ,"	
	Farmer needs information regarding how to control sucking pest in   brinjle    crop?
"
3148,"Recommended for to control fruit & shoot borer in brinjal crop spray novaluron@10muck
lper pump
","Farmer needs information regarding control measures of fruit & shoot borer in brinjal crop?
"
3149,According to meteorology department of India there is No chance for rainfall in next 5 to 6 days in your area.but weather will be cloudy,Farmer needs information regarding weather for tikamgarh dist. of state madhya pradesh?
3150,"J.G. 14

2009 95-110 20-25
Suitable for making pulses, more temperature tolerant, cold-water resistant, irrigated areas of central region, recommended for late planting",farmer want to know information in crop gram  variety ?
3151,"grow musturd varieties jawahar sarso-2,3 ,rajvijay sarso.",FARMER WANTS TO KNOW ABOUT MUSTURD VARIETIES?
3152,"Recommended for varieties of mustard jm-1, swarn jyoti, basundhra, rgl-73, pusa bold are the popular varieties under cultivation.
","Farmer wants to know information about varieties of mustard?
"
3153,"Recommended for Spray dicofol 18.5 EC 2.5 ml/lit of water. 
Spray of ethiyan 30 ml/ 16 litre  of water
","
Farmer wants to know about control measures of red spider in papaya plant?
"
3154,"Tikamgarh Weather Today (1–3 days)
Mostly dry. Warm (max 32°C on Wed afternoon, min 19°C on Mon night). Wind will be generally light.

Tikamgarh Weather (4–7 days)
Mostly dry. Warm (max 33°C on Thu afternoon, min 20°C on Thu night). Wind will be generally light.",farmer want to know weather information of tikamgarh district 
3155,"Recommended for varieties of gram Bharti (I C C V 10), Jawahar 74 gram, 218 gram Precious Stone, Victory, Jawahar 322 gram,Jawahar gram 11 gram 130 Jawahar, Jawahar gram 16 gram 315 Jawahar, B G D 72, Zaki -9 218 101 are the popular varieties under cultivation.
","Farmer want to know information about varieties of gram?
"
3156,"Recommended for   varieties of irrigated wheat M.P. 1142, H.I. 1077, G.W. 273, G.W. 322, G. W. 190, Raj 1555, H.D. 4530, H.I. 8498, H.I 8381, J.W. 1106,  are the popular varieties under cultivation.
","Farmer want to know information about irrigated Varieties of wheat?
"
3157,"to know information about polly house contact to your R H E O 
","farmer want to know information about polly house?
"
3158,"Recommended for Pusa bold, varuna, kranti, rohini, Jawahar sarso-2, Pusa jai kishan are mustard varities.
", farmer want to know about Varieties of mustard crop?
3159,msp of urda 5600,Farmer wants to know about msp ?
3160,"18/10/2018Mandi  : TikamgarhCommodity : Sesamum(Sesame,Gingelly,Til)(Modal Price): 9096/Quintal",Farmer wants to know information about market information of Sesamum?
3161,"Recommended for Spray imidachloprid 17.8%SL 5 to 7 ml  per pump.
","Farmer want to know about control of sucking pest in onion crop ?
"
3162,"Uninterested: from mid-October to first week of November

Semiconductor: First fortnight of November month

Irrigated (from time): Second fortnight of November month

Irrigated (delayed): from the second week of December",farmer want to know showing time of wheat ?
3163,"recomonded dose of fertilizer in gram crop 25kilo,60kl ",farmer want to know about fertilizer dose of bengal gram crop ?
3164,"recommonded thiophanate methyl 70 % wp 25 gram / 16 litre of water spray
","farmer want to know information about How to control of fungal attack in gram  crop ?   
"
3165,"Recommended for   varieties of irrigated M.P. 1142, H.I. 1077, G.W. 273, G.W. 322, G. W. 190, Raj 1555, H.D. 4530, H.I. 8498, H.I 8381, J.W. 1106, Sudha, pusa tejas ,pusa ujala,H.I 8663 are the popular varieties under cultivation
",Farmer wants to know information about varieties of irrigated wheat crop?
3166,"recomonded J W 1201,G W 366, RAJ 3067 ,MPO 1215",farmer want to know about wheat crop variety ?
3167,"Tikamgarh Weather Today (1–7 days)
Mostly dry. Warm (max 33°C on Thu afternoon, min 20°C on Thu night). Wind will be generally light.Light rain (total 3mm), mostly falling on Sat night. Warm (max 33°C on Sun afternoon, min 19°C on Mon night). Wind will be generally light.",farmer want to know information in weather forecast dist tikamgarh ?
3168,"recommended for spray to planofix 5-7 mili/pump
","how to control flower drop in papaya crop?
"
3169,"Kufri Jyoti, Kufri Muthu, Kufri Swarna, Kufri Thangam, Kufri Malar, Kufri Soga and Kufri Giriraj are commonly cultivated.",farmer want to know information in crop potato variety ?
3170,"recommended varieties of wheat
J.W. 1201,
G.W. 366,
Raj 3067,
M.p.o. 1215,
H.I. 8498","farmer want to know information about varieties of wheat ?
"
3171,"Dear farmer following crop should be grown in rabi  season like guava ,ber, fengugreek , palak ,banana ,citrus ,orange ,onion , potato ,tomato , garlic , etc crop .",farmer want to know which crop should be grown in rabi crop?
3172," Urea 175 kg, DAP 109 kg and MOP 50 kg per hac. ",farmer want to know Fertilizer dose in wheat crop?
3173,"Recommended for Unirrigated – sujata, MP 3020, HW 2004 (amar), JWS 17, HI 1500, HI 1531, HI 4672 (Malavratna), HI 8627, HI 7483 (Meghdut) are wheat crop varieties. ","Farmer want to know about Unirrigated Varieties of Wheat crop?
"
3174,"recommend for spray to Imidacloprid 17.8 % SL 5-7 ML/PUMP
"," Farmer want to know information about how to control SUCKING IN papaya ?
"
3175,"The right time for sowing of coriander for the grains is the first fortnight of November. The time of October to December time for green leaf harvesting is suitable for sowing. It is advisable to sow coriander in the second week of November, to protect against paddy. Seed rate: 15-20 kg / ha in irrigated condition. 25-30 kg / ha in seed and unincorporated Seeds are required.",farmer want to know seed rate and sowing time of coriander crop ?
3176,recommended for spray to planofix 5-7 mili/pump,how to control flower drop in tomato  ?
3177,Recommended for Tricoderma viridi culture 3 to 4 kg per acer per year for control of wilt disease in gram crop.,Farmer wants to know about how to control wilt disease in gram crop?
3178,"Disease Control:

1. To protect crop from boiling and root rot, treat 2g of thyme by 1 gm of carbendazim, per kg of seeds. Or

2. Treat beta wax with 2 grams / kg.



Pest Control:

1. Treat thymethoxem 70WP 3 gms / forts at the rate of seed

 



Seed Treatment -Bacterial culture: Rhizobium and P. S. B. Treat every 5 grams of quantity per kg at the rate of the seed.

2. Make a solution in half a liter of 100 grams of jaggery, heat the lukewarm solution and cool down to mix one packet rhizobium culture.

3. Sprinkle the solution evenly over the seed and mix it slowly with the hand so that the culture sticks to the top of the seed.

4. Dry the treated seeds for some time in the shade.

5. P.S.B. Seed treatment from culture like Rhizovium culture.

6. Treat molebdenum at the rate of 1 gram per kg seed.",farmer want toknow how sesd treatment in chickpea crop ?
3179,Recommended for   seed treatment of gram treat the seed with tricoderma viridi 5gm/kg of seed or thiram 3gm/kg of seed.,Farmer want to know information about seed treatment of gram?
3180,recommended for   seed treatment of Matar treat the seed with tricoderma viridi 5gm/kg of seed or thiram 3gm/kg of seed,farmer want to know information about seed treatment of Matar ?
3181,"to achieve good yield, use 175 kg of urea ,109 kg DAP, 83 kg potash and 20 kg zinc sulphate per hectare per hectare.",Farmer  wants  to know information about ferti. Schule for gram (chick pea) crop ?
3182,recommended for to control of weed attack in onion  crop oxyflorfen @80ml/acer.,farmer want to know information about How to control of weed attack in onion  crop?
3183,"Variety





Stage (yield quintile / ha)



Uninterrupted





An irrigation





Two irrigation

J.W. 17 18-20



30-32

-

J.W. 3020 18-20 32-34 40-42

J.W. 3173 18-20 34-36 40-42

J.W. 3211 18-20 37-39 43-45

J.W. 3269 18-20 37-39 43-45",farmer want to know information about VARIETY OF WHEAT?
3184,"Recommended  for to know information about disease management of buffalo  contact to your animal hospital/veterinary doctor or contact 18001801199,1962",Farmer  wants  to know information about disease management of buffalo?
3185,"seed treatment for gram should be done with 2g of thiram  1 gm+ carbendazim, per kg of seeds.",farmer want to know seed treatment of gram for controlling wilt disease?
3186,Recommended for to control of fungal attack use copper oxy oxychloride 50 wg (blueget 727 sumil chemicals) 40 gram and streptocyclin 2 gram at 15 liter of water,farmer needs information regarding fungal attack in fenugreek crop?
3187,recommended for to control of fungal attack use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water,farmer want to know information about How to control of fungal attack in fenugreek crop?
3188,"Use recommended dose of spray imidacloprid 17.8 sl (admire, confidor 200 sc, 250 ml per hectare) 5-7 ml at 15 liter of water.",Farmer needs information regarding control measures of sucking pest in brinjal crop ?
3189,"To protect crop from wilt and root rot, treat 2g of thiram  by 1 gm of carbendazim, per kg of seeds 2 or  Treat beta wax with 2 gm /kg seed",farmer want to know how to control wilt disease in bengal gram (chana)?
3190,Use Carbon disulphide 30 g/100 kg of seeds for breaking the dormancy and inducing sprouting of tubers.,Farmer want to know information about seed treatment of potato ?
3191,"Seed treatment

Use Carbon disulphide 30 g/100 kg of seeds for breaking the dormancy and inducing sprouting of tubers after that use  thiram 3gm/kg of seed for seed treatment.",Farmer wants to know information about seed treatment of potato ?
3192,"recommended following vareity for ujjain district that is J.W. 1201, J.W. 322 J.W. 2Hi 1544, h. 8498 (hard),

M.p.o. 1215 J.W. 1201, J.W. 322, J.W. 273, HIV 1544, H.I. 849 (Hardia), M.P.O. 1215",farmer wants to know about the variety of wheat for ujjain district?
3193,information provided by kisan call centre was the weather condition in his local area there was nothing possibility of raining in next 4 to 5 days but there may be possibility of partially cloud in next 4 to 5 days,farmer want to know information about weather in his local area
3194,"Recommended for Irrigated within time - Lok-1, MP 1142, HI 1077 (Mangala), DL803-3 (kanchan), GW 190, GW 273, 322, MP 1142, GW 366, HI 8381 (Malavshree), HI 8498 (Malav shakti).",Farmer want to know about Varieties of Wheat crop?
3195,"Pandyhythaline 3.3 liters for Aakri, Bhui Amla, Wild Wheat, Wild Spinach Sabuni Ghehua, Wild Oats, Gudi Danda Bathuva. Use per hectare within 3 days of sowing",Farmer wants to know about weed control in gram ?
3196,Recommended for control of fungal attack spray copper oxychloride 30-40gm/pump and streptocyclin 2 gram at 15 liter of water,Farmer needs information regarding control measure of fungal disease in onion crop?
3197,"Farm preparation



Summer plowing



Deep plowing once in three years",farmer want to know that field prepration of wheat crop?
3198,Recommended for N: P: K 0:52:34 1 kg at per Acer,Farmer needs information regarding how to increase size and production in paddy crop?
3199,recommended for to control of fungal attack spray  carbandazim + mancozeb 40gm.and streptocyclin 2 gram at 15 liter of water.,Farmer want to know information about How to control of fungal attack in chick pea  crop?
3200,recommended for spray imedaclorpid @5-7 ml/pump,farmer want to know information about how to control sucking pest in ONIOJN?
3201,To control wild animals spray product taar.,Farmer  wants  to know information about how to control wild animals?
3202,Recommended for to control of weed attack in onion crop  Oxidiargyl 80 WP(80% w/w) @800-1000 ml/hectare before planting,Farmer needs information regarding control of weed attack in onion crop?
3203,recommend for spray to Imidacloprid 17.8 % SL 5-7 ML/PUMP,how to control SUCKING IN onion ?
3204,NARI-6 ripening period 117-137 10 rupees per hectare crystalline variety oil is high.,farmer need to vairety in kusum crop ?
3205,Dear farmer use recommended dose of Carbendazim 12% + Mencozeb 63% 300-350gm/acre or 30-35gm/pump,Farmer want to know information about control of fungal attack in onion ?
3206,Recommended for N: P: K 0:52:34 mono potassium phosphate (Potassium Dihydrogen Phosphate) 1 kg at per Acer or 100 gram per pump,Farmer needs information regarding how to increase growth of onion?
3207,"recommended for varieties of irrigated wheat M.P. lok 1 seed rate - 100kg/hact. (for normal condition), 120kg /hact. (for coarse size grain )

  125 kg /hact.  (for late sowing)

    2.5 kg thiram or 2.5 kg carbendazim or 5 gram trycoderma spore @ 1kg seed.",farmer want to know information about varieties of  irrigated wheat?
3208,"kisan bhai bengal gram resistant variety to  wilt  Sweta 
(ICCV-2) ",farmer wants to know wilt resistant variety ?
3209,Sowing time of wheat is 15 october to 15 november.,Farmer want to know about sowing time of wheat ?
3210,"recommended for to control of fungal attack in coriender crop use thiophinate mithyl 25 gram and streptocyclin 2 gram at 15 liter of water	
",Farmer need information regarding control measures of fungal attack in gram  crop?
3211,recommended for Seed rate of gram is 65kg/he,"Farmer wants to know information about seed rate of gram ?
"
3212,"After 25-30 days of sowing by proper hoop or spade for proper air circulation in roots, first Dudai-Gudai and other Nudai-Gudai should be done after 45-50 days.

Pluclorolin 1 kg for weed control Active ingredient before sowing or paraffinethylene 1 kg The active ingredients should be sown after sowing in the pre-500 liters of water and sprayed at a rate of hectare.
After",farmer want to know about weed management of garlic?
3213,"variety of potato  kufri sindur kufri chandermukhi, chip sona-1, chip sona-2",farmer want to know information about variety of potato  ?
3214,"
Recommended for before germination use pendimethilin 30EC 500-700  ml at  per hectare or 20-25 ml per pump. spray with in 0-3 days.
","Farmer needs information regarding control of weeds in garlic/rice crop?
"
3215,Recommended for to know information about disease management of animal please contact to your animal hospital/veterinary doctor or contact 18001801199 or 18001805141 or  18001806224 or 1962,Farmer wants to know information about phone number of vitenary department?
3216,Recommended for wilt in gram tricoderma viridi 5kg/ha.	,Farmer wants to know information about field treatment of gram fungicide?
3217,"Spray borax @ 3 gm/liter.
","Farmer needs information regarding control measures of Lemon/citrus fruit cracking?
"
3218,"•	use recommended dose of chloropyriphos 20EC 1 liter, mixed in 8-10 kg of sand and broad cast in 1 acre of field.",	Farmer needs information regarding control measures of termite in ROSE  crop?
3219,•	  recomended chloropyriphos 20 EC @ 1ml/litre to control Shoot and fruit borer. ,	Farmer needs information regarding control measures of termite  in  gram crop?
3220,Use recommended dose of  NPK 0:52:34 100 gram per pump.,Farmer needs information regarding incresing size of onion crop?
3221,irrigation in potato crop after 7 days of germination.,farmer wants  to know about irrigation of potato crop?
3222,recomonded spray of planfix 8 ml par pump ,farmer want to know information about how to control fruit drop in orange 
3223,"Zakie 9218 2006 112 18-20
Low sprawling plant, prophage branches, plant light brown, grained angular shape, smooth surface, weed 20-27 grams, recommended for irrigated and unincorporated cultivation.",farmer want information in crop variety gram ?
3224,To know information about horticulture please contact to your department of horticulture  or please contact rural horticulture  extension officer ...          ,Farmer wants to know information about horticulture information  ?     
3225,dear farmer suggest by in wheat crop by cultural pratice ,farmer want to know about of cultural pratice in wheat crop ?
3226,"For seed treatment-Use recommended dose of carbandazim + thirum (2:1) 3 gram per kg of seed or thirum + carboxin 75 wp 3 gram per kg of seed or Thiamethoxam 78 WG 3 gram per kg of seed or trichoderma virdi 5 gram per kg of seed or Mancozeb or metalexil or kepton fungicide 3 gram per kg of seed.
","Farmer needs information regarding seed treatment for soybean crop?
"
3227,"recommended for to control of fungal attack spray  carbandazim + mancozeb 40gm.and streptocyclin 2 gram at 15 liter of water
","Farmer need information regarding control measures of fungal attack in garlic  crop?
"
3228,"recommended for to know about govt. schemes of horticulture  please contact rural horticulture extension officer ..
","farmer want to know information about govt. schemes of horticulture ?
"
3229,"The premium under the Pradhan Mantri Fasal Bima Yojana is way less than the previous government or private crop insurance schemes. The premium amount for Kharif crops is 2 percent and 1.5 percent or the sum insured for Rabi crops. Karif and Rabi covers most food crops and oil crops cultivated in India. The premium for commercial or horticultural crops (including cotton) is pegged at 5 percent for one year.
","farmer want to know about Pradhan Mantri Fasal Bima Yojana?
"
3230,Recommended for to know about govt. schemes please contact rural agriculture extension officer,Farmer wants to know information Govt. schemes ?
3231,"For more information about Bhavantar, please contact these numbers 0755-2540500,18002332501
"," farmer want to know information about bhavantar Yojna .?
"
3232,NO CHANCES OF RAINFALL IN YOUR DISTRICT NEXT FIVE DAYS ,FARMER WANTS TO KNOW INFORMATION ABOUT WEATHER FORECAST FOR UJJAIN DISTRICT?
3233,"1]Urea 104 kg, single super phosphate- 150 kg,, murate of potash- -27 kg
2] DAP - 52 kg, urea-85 kg , murate of Potash-27 kg","Farmer needs information regarding fertilizer dose for wheat crop?
Irrigated wheat
"
3234,"Irrigated within time - Lok-1, MP 1142, HI 1077 (Mangala), DL803-3 (kanchan), GW 190, GW 273, GW 322, GW 366, HI 8381 (Malavshree), HI 8498 (Malav shakti),HI 8663,pusa ujala ,pusa tejas.",Farmer needs information regarding variety for wheat crop?
3235,"Recommended for thiofinet mithail 25 gram, ",Farmer needs information regarding control measure of fungal disease in paddy  crop?
3236,"recommended for Varieties of  onion Pusa Red, Pusa White Flat, Pusa White Round, Pusa Ratnar, S-131, Early Grano, Punjab Selection, Punjab Red Round, Punjab-48, Punjab Red Round, CO-1(Multiplier), CO-2, CO-3, CO-4, MDU-1, Hissar 2, Kalyanpur Red Round, Udaipur 101, Brown Spanish (Long day) and VL-1 (Long day).
","farmer want to know information about	Varieties of  onion?
"
3237,"recommend for spray to Imidacloprid 17.8 % SL 5-7 ML/PUMP
",farmer want to know how to control SUCKING IN onion  ?
3238," Fertilizer dose in lentil crop Recommended for Urea 54 kg, SSP 313 kg  per hac.",what is fertilizer dose in lentil crop?
3239,Recommended for to control of fungal attack spray carbandazim + mancozeb 40gm.and streptocyclin 2 gram at 15 liter of water.,Farmer want to know how to control fungal attack in fenugreek?
3240,"Recommended fertilizer  for In onion crop approxiy  apply urea 215  kg , DAP 109 kg  and MOP 80 kg/hac. and 25 kg zinc sulphate per hectare at the time sowing.
","Farmer wants to know about fertilizer dose in onion crop?
"
3241,"Recommended for to know information about agriculture insurance contact to your nearest bank & dial 18001030061
Recommended for to know information about agriculture insurance contact to your nearest bank  & dial 0755-4218901,4218902,4218903",Farmer wants to know information about agriculture insurance.
3242,"To control this, spray Neem oil based insecticides, or imedacloprine insecticide with 17.8 s. The amount of medicine is 125 ml / ha. Sprinkle in 500-600 liters of water.",farmer want information to control thrips attack in onion?
3243,"Recommended  for fertilizer  schedule in wheat , 130kg DAP AND 67kgMOP/hacter",Farmer  wants  to know information about fertilizer  schedule in wheat?
3244,"JGN-3, TG-37A , JL-501, JL-501, GG-20",farmer want to know information about	Varieties of  Groundnut ?
3245,"Mustard:
If the mustard seed is given without bole, then first irrigation be done on 30-35 days of sowing. After this, if the weather is dry, i.e. 60-70 days of Bonnie, if the water is dry, then the irrigation must be done during the time of development of beans or pods. In the bifurcated area, where the mustard crop is cultivated in the irrigated condition, the first irrigation should be done on the 40-45 days of the sowing of the crop and on 75-80 days if the second irrigation is not available.",farmer want about mustard water management ?
3246,DEAR FARMER SPRAY WEEDICIDE SIMAIZIN 0.500 KG/HACTARE MIX IN 700 LITER WATER .SPRAY DONE WITHIN 7 DAYS.,FARMER WANT TO KNOW INFORMATION ABOUT WEEDICIDE IN POTATO CROP?
3247,"25 kg Gink sulphate should be used once per year in 3 years. Using drip irrigation and fertigation, the yield increases with the use of water-soluble fertilizers through drip irrigation.",farmer want to know about nutrient management in garlic ?
3248,"Irrigation
The saying is - potatoes and maize lick water - they do not drink. Therefore, giving a little water at a time at a time is beneficial for more yield. Because the quantity of compost is kept high, therefore 10 days after the implantation, but within 20 days, first irrigation must be done. By doing so, it will be very quick and the number of per plant tubers increases, which results in two fold increase in yield. By using the first irrigation timely, the fertilizer used in the field starts using crops as per requirement from the beginning. The time of the two irrigation seeds can be increased on the basis of the soil condition and experience of the soil. However, do not keep between two irrigation for more than 20 days. Stop irrigation 10 days before digging. By doing this, the tubers will clean at the time of excavation. Keep in mind that irrigation should be done only by half the drain in each irrigation so that the remaining part is solidified by risab",farmer want about potato water mangement ?
3249,"In the last plowing of the dear farmer brother land, the fortate 10g or carbofuran 3g is treated at 20-25 kg per hectare.
",farmer want about white grub in groundnut ?
3250,"recommended for fertilizer  schedule in wheat  211kg urea, 188 kg NPK 12:32:16  AND 17kgMOP/hacter 
","farmer want to know information about fertilizer  schedule in wheat ?
"
3251,"Recommended for Urea 175 kg, DAP 109 kg and MOP 85 kg per hac.
","Farmer wants to know about fertilizer dose in garlic crop fertilizer dose in garlic crop?
"
3252,Recommended for upon the outbreak of the standing crop termite’s  chloropayriphos 20 EC 500 ml with gation water per acre to the drug. Ardhsincit land above the amount of drug dissolved in 3 liters of water mixed with 50 kg of sand spread on the farm Lgaven water.,Farmer wants to know information about how to control of Termite in wheat crop? 
3253,"DAP 109KG/HAC 
UREA 175KG/HAC
MOP 83KG/HAC 
ZINK SULPHATE 25KG/HAC",Fertilizer dose in garlic  crop?
3254," recommended for foliar application of IFFCO 0:0:50 water 
soluble fertilizer @ 100 gm/pump.
",farmer want to know information about  how to increase growth of  - orange? 
3255,"	dear farmer spray Emamectin benzoate 5%SG, 8 gm/ pump  ",farmer want to know pest controll in pigeon pea ?
3256,"recommended for to control of fungal attack in gram crop use belademycin 25ml at 15 liter of water
","Farmer need information regarding control measures of fungal attack in  GRAM crop?
"
3257,"Fertilizers should be used on soil testing basis only.
Nitrogen stabilization bacteria are found in the glands found in the roots of gram plants, which absorb the nitrogen from the atmosphere and use this nitrogen to make the plants grow.
To achieve good yield, use 20-25 kg of nitrogen 50-60 kg phosphorus 20 kg potash and 20 kg per hectare per hectare.
Scientific research has shown that in the unstructured condition, 2 percent urea or DAP Spray on the crop will increase the yield of gram",farmer want to know about fertilizer dose of gram ?
3258,"Recommended urea = 43. Kg., super phosphate  =350. Kg., muriate of potash = 25. Kg. And sulphur 20 kilogram   use per hectare.
","Farmer want to know information about what are fertilizer doses in bengal gram crop?
"
3259,"recommended for fertilizer  schedule in POTATO 176 kg urea, 217 kg DAP AND 167 kg MOP/hacter 
","Fertilizer dose in POTATO crop?
"
3260,•	Spray fipronil 5 % (Regent)@ 25 ml at 15 liter of water.,	Farmer needs information regarding how to control sucking pest in ONION crop?
3261,"If the symptoms are shown, sprinkle the menekogab (2.5 g / l) of water within 10 days interval. Mix these adhesive substances such as sanwow witt, triton or ordinary gum so that the sticks can stick to effective control on the leave",farmer want to know that information of purpal bloch of onion?
3262," dear farmer Recommended for spray to fipronil 30 mili/pump.
","
Farmer  want to know how to control sucking pest in onion crop?
"
3263,"	
	Recommended for to control sucking pest Spray any one of the following insecticides in the initial stage of infestation 
•	Spray diAmethoate 30 EC 500 ml/ha ór 30 ml per pump 
•	Spray Methyl demeton (metasystox 25 ec) 25 EC@ 500 ml/ha or 25 to 30 ml per pump.
•	Spray imidacloprid 17.8 SL (Admire, confidor 200 SC, 250 ml per hectare) 5-7 ml at 15 liter of water.
•	Spray Acetamiprid 20% SP 4-6 gram per pump.
•	IMIDACLOPRIDE 70 % WG 3-5 gram per pump
•	IMIDACLOPRIDE 30.5 %SC Agricultural insecticide  3-5 gram per pump
•	CYPERMETHRIN 10% EC  20-30 ml per pump 
","	Farmer needs information regarding how to control sucking pest in Onion crop crop?
"
3264,"Seed Treatment

Treat seed with sowing before sowing, carbacin 75% for seed treatment, wp / carbon dioxide 50% wp is sufficient for 2.5-3.0 gm drug / kg seed.

Tuberculosis is treated with 1 gram / kg seeds and is protected from the Pandava disease.

The availability of phosphorus increases with the treatment of PSB culture 5 grams / kg seed.",farmer want to know that information of seed treatment of wheat crop?
3265,"Recommended for to control of fungal attack use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water	
",Farmer want to know information about How to control of fungal attack incrop?
3266,"recommended for to control of fungal attack spray  carbandazim + mancozeb 40gm.and streptocyclin 2 gram at 15 liter of water
","Farmer need information regarding control measures of fungal attack in onion  crop?
"
3267,"recommend for spray to Imidacloprid 17.8 % SL 5-7 ML/PUMP
","how to control SUCKING IN onion?
"
3268,"Recommended for to control of fungal attack in gram crop use captan + hexaconazol 40gm.and streptocyclin 2 gram at 15 liter of water
",Farmer needs information regarding control measure of fungal disease in pea  crop?
3269,"Recommended for fertilizer dose in irrigated wheat Use urea 260 kg, 375 kg, MOP 66 kg/ha
",farmer needs information fertilizer dose in wheat crop?
3270,kisan bhai in your onion crop spray Fenwheelate 20% EC to 25-30 ml per pump per spray,"Farmer needs information regarding how to control sucking pest in onion      crop?
"
3271,"Ujjain Mandi Prices 22/10/2018 Mandi: Ujjain Commodity: Wheat
(Modal Price): 2010 / Quintal","Farmer needs information mandi rate of wheat crop ujjain dist.?
"
3272,"Urea 175 kg, DAP 109 kg and MOP 50 kg per hac.
", farmer want to know about Fertilizer dose in wheat crop?
3273,recommended for seed treatment of gram treat the seed with tricoderma viridi 5gm/kg of seed or thiram 3gm/kg of seed,"farmer want to know information about seed treatment of gram crop ?
"
3274,"No chance of rainfall for next five days.
","Farmer want to know information about weather of ujjain district?
"
3275,"Recommended for Urea 210 kg, DAP 130 kg and MOP 67 kg per hac.
","Farmer need information regarding fertilizer dose in wheat crop?
"
3276,"Recommended for seed treatment of gram treat the seed with tricoderma viridi 5gm/kg of seed or thiram 3gm/kg of seed
","Farmer wants to know information about seed treatment of gram?
"
3277,"The quantity of manure and fertilizer depends on the fertility of the land. Generally, 20-25 tonnes of cow dung or compost per hectare or 5-8 tonnes of Vermicompost, 100 kg / ha. Nitrogen, 50 kg Phosphorus and 50 kg Potash is required. 175 kg for this Urea, 109 kg, di ammonium phosphate and 83 kg Mutant of potash is needed. Dung manure, D.A. The full quantity of P. and potash and half the quantity of urea should be mixed in the land during the final preparation of the field. The quantity of remaining urea should be given with spraying after 30-40 days in a standing crop.

Using the amount of micronutrients increases yield in the yield. 25 kg Gink sulphate should be used once per year in 3 years. Using drip irrigation and fertigation, the yield increases with the use of water-soluble fertilizers through drip irrigation.",farmer want to garlic  fertilizer dose prati hacter ?
3278,"Recommended dose of Sulfosulfuron 75% + Metsulfuran Methyl 5% WG 16 gram per acer after 30 to 35 days of sowing.
Recommended dose of Clodinafop Propargyl 15% WP+ Metsulfuron Methy 20% WP160 gram per acer after 30 to 35 days of sowing.
",Farmer needs information regarding control of weeds in wheat crops?
3279,Recommended for to control of fungal attack use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water	,Farmer want to know how to control fungal attack in onion crop ?
3280,Dear farmer you can sowing of wheat crop  under irrigated  condition 1 november to 15 november. ,farmer want to know information sowing time of irrigated wheat ?
3281,"Manure and fertilizer
The quantity of manure and fertilizer depends on the fertility of the land. Generally, 20-25 tonnes of cow dung or compost per hectare or 5-8 tonnes of Vermicompost, 100 kg / ha. Nitrogen, 50 kg Phosphorus and 50 kg Potash is required. 175 kg for this Urea, 109 kg, di ammonium phosphate and 83 kg Mutant of potash is needed. Dung manure, D.A. The full quantity of P. and potash and half the quantity of urea should be mixed in the land during the final preparation of the field. The quantity of remaining urea should be given with spraying after 30-40 days in a standing crop.
Using the amount of micro nutrients increases yield in the yield. 25 kg Zink sulfate should be used once per year in 3 years. Using drip irrigation and fertilization, the yield increases with the use of water-soluble fertilizers through drip irrigation.",farmer want to know information about  fertilizer dose for garlic crop?
3282,Imidacalpropid 17.8%  5-7 ml  / pump use ,farmer want to know information in crop onion ?
3283,"Recommended for In bengal gram crop apply urea 11kg., DAP 108kg  MOP 67 kg/hac and 33 kg mop per hectare at the time sowing.
","Farmer wants to know about fertilizer dose in bengal gram crop?
"
3284,spray fipronil 25ml per pump for sucking peat in pea,farmer want controle measure of sucking pest in pea ?
3285,"If available for soil fertility and production, add 15 tones of good sand dung and 20 Kg. Nitrogen and 50 kg Phosphor And 20 kg / ha. Potass should be used.",farmer want to know information  about fertiliser dose  for lentil crop ?
3286,"recommend for spray to Imidacloprid 17.8 % SL 5-7 ML/PUMP
","how to control SUCKING IN pea ?
"
3287, recommended  for weed MANAGEMENT in wheat spray metsulfuran @ 1gm/pump.,farmer want to know information about weed MANAGEMENT in wheat?  
3288,recommended for  weed MANAGEMENT in wheat spray phenoxa prop p ethyl @30ml/pump.,farmer want to know information about weed MANAGEMENT in wheat? 
3289,No rainfall chance in your district at next 5 days. weather will clear .  ,farmer want to weather information of district?
3290,"recommended for improve variety masur -jawaher 1, jawaher-3,k-75 mallika ,i.p.l-81..
","farmer want to now infermation about improve variety in masur ?
"
